,eps,n_samples,silhouette_score
0,62,1,0.2753864585077136
0,84,8,0.27520611565575553
0,83,8,0.27520611565575553
0,82,10,0.2749649579241497
0,66,1,0.2746110821673785
0,91,11,0.27422559374592564
0,97,1,0.2737529233459938
0,99,1,0.2730520448305103
0,46,6,0.2725801456393256
0,67,1,0.2723008844634396
0,64,1,0.27195859755586366
0,65,1,0.2718511083699408
0,98,1,0.27182842796615664
0,68,1,0.2715599319445075
0,69,1,0.2715599319445075
0,89,3,0.2713695271160664
0,88,10,0.27109375319087187
0,95,11,0.27052701530298906
0,75,2,0.2703561569518988
0,90,11,0.27033423189694256
0,88,3,0.2694915305569005
0,54,2,0.26928277880811835
0,82,8,0.26882839447466367
0,81,8,0.26874805983559447
0,70,1,0.26863646526656404
0,74,2,0.26847164600578116
0,44,6,0.2682696087474555
0,47,6,0.26816959024288833
0,87,10,0.2668144460682307
0,86,10,0.2668144460682307
0,43,6,0.26629368824889954
0,71,1,0.26626493861784245
0,94,11,0.2652405504848741
0,80,8,0.26423672896541023
0,45,6,0.26405552954502876
0,23,2,0.263814421411785
0,58,2,0.26357256168997417
0,87,4,0.26264535284083
0,90,9,0.2621302897472622
0,79,8,0.26184741643782977
0,96,9,0.2614828507746582
0,89,9,0.2611617693785743
0,48,6,0.26080717873707293
0,92,11,0.2600828384229998
0,42,6,0.2600595393640904
0,98,9,0.2599553287637226
0,97,9,0.2599553287637226
0,12,1,0.25990940922274824
0,95,9,0.25975658986295996
0,93,11,0.2592909361631151
0,88,9,0.2586783012740852
0,93,9,0.25760276350192624
0,94,9,0.25760276350192624
0,92,9,0.25760276350192624
0,89,10,0.25748743419416764
0,93,12,0.2574456736820806
0,50,6,0.2572938473561407
0,53,7,0.25669962787269585
0,43,3,0.2565180898487145
0,27,4,0.2558034254292378
0,34,4,0.2557439260363909
0,35,4,0.2553682065973034
0,52,7,0.2549411046006988
0,76,9,0.2548131898454477
0,89,11,0.2542071099202172
0,78,8,0.2540440311834462
0,50,7,0.2533905837987863
0,74,9,0.2521705798336166
0,32,4,0.2517625168464919
0,77,9,0.2516287567329874
0,41,6,0.2504598464728839
0,96,11,0.2504012655719144
0,73,9,0.24949615697448985
0,79,10,0.2493642498919097
0,35,5,0.24918363002770696
0,49,6,0.24850049617282294
0,87,9,0.24789323685802075
0,81,9,0.2473516074193991
0,33,4,0.2470424181469706
0,34,5,0.24703704981973598
0,77,8,0.24692338625652355
0,94,12,0.24670780288443808
0,96,12,0.24651506647892907
0,49,7,0.24569670202912078
0,85,9,0.24562298359483617
0,80,9,0.24492559237295297
0,11,1,0.244830736100225
0,75,9,0.24422226454328427
0,61,2,0.24401445738650698
0,76,7,0.24345277742875915
0,92,10,0.24328991913961232
0,76,8,0.24296834124611816
0,72,9,0.2429308376985527
0,41,3,0.24292433454670684
0,54,6,0.2429222834804974
0,80,10,0.24229523171042916
0,79,7,0.24212506880003906
0,48,7,0.24203168228205219
0,38,3,0.24202990110286662
0,42,3,0.24198421821010915
0,75,8,0.24175180214708156
0,81,10,0.2414568820349139
0,95,12,0.24116532891682288
0,84,9,0.2409476103763015
0,73,2,0.2408978027814691
0,93,10,0.24084593712921995
0,95,8,0.24039095513546785
0,96,8,0.24039095513546785
0,22,2,0.24024400769881882
0,72,2,0.24017357017806334
0,40,3,0.23956892828083923
0,94,8,0.23929558242718701
0,93,8,0.23904127834984978
0,91,8,0.23904127834984978
0,92,8,0.23904127834984978
0,65,7,0.23894576131270212
0,51,7,0.2389320783371743
0,91,10,0.23816258245565816
0,63,7,0.2381378391144457
0,99,3,0.23793794759373152
0,90,10,0.23793383273710714
0,26,4,0.23785977953336052
0,90,8,0.23773683076647273
0,79,9,0.2377270656095177
0,39,3,0.23742803863446807
0,69,8,0.2372159037646694
0,85,11,0.23716965816678992
0,51,6,0.23703906508868805
0,86,11,0.23671363367804785
0,75,7,0.23659739773091332
0,92,12,0.23653673756972984
0,53,6,0.23648518338010024
0,84,11,0.23618260172272015
0,88,11,0.2359735072644742
0,37,3,0.23562515891853691
0,83,9,0.23559023981970456
0,78,10,0.23532802650590834
0,47,7,0.23526515944983017
0,40,6,0.2351839741496616
0,98,3,0.23514382969396233
0,31,4,0.23477036184331773
0,78,7,0.23457696487136945
0,82,9,0.23371075351160203
0,77,7,0.23347592512447998
0,86,9,0.2331626669493041
0,69,2,0.23297519986648424
0,68,2,0.23297519986648424
0,54,7,0.23268968040114213
0,36,3,0.23241085146590343
0,62,7,0.23231240354470997
0,90,12,0.23210135438884877
0,97,3,0.23179526748057896
0,46,7,0.2317731487633812
0,66,2,0.23148434703692786
0,91,12,0.2314799254124431
0,67,2,0.23091683021214016
0,83,11,0.23016315167178492
0,70,2,0.23004984450218866
0,63,2,0.23000378107637373
0,52,6,0.22984475385421232
0,97,12,0.22965216147626996
0,64,7,0.22883135325421625
0,71,2,0.22874621549770932
0,39,6,0.22840242012294182
0,57,8,0.22832645514447517
0,72,10,0.22816513436616068
0,87,11,0.22794230729661705
0,65,2,0.22781912866581527
0,66,7,0.22768087836415063
0,98,12,0.22759817116892433
0,99,12,0.22736809680064224
0,10,1,0.22736101890767035
0,64,2,0.22735529960809578
0,30,4,0.22722139067612013
0,71,7,0.22715970124796545
0,78,9,0.2268649217937847
0,55,6,0.22683735913049025
0,46,5,0.22679871187809253
0,69,7,0.22631868110565262
0,77,10,0.22574112936281865
0,75,10,0.22571706616934928
0,70,7,0.22571511547347292
0,61,7,0.22565958185866392
0,33,5,0.22505357810252416
0,47,5,0.22466867796377432
0,32,5,0.2243929095866938
0,60,7,0.22415342795548468
0,73,10,0.22411329729634086
0,76,10,0.22404064749876923
0,62,2,0.22390206671531496
0,68,7,0.22360482482694505
0,74,10,0.22325836522417933
0,59,7,0.22188451327979364
0,67,7,0.22115840994029368
0,45,5,0.2211050273076145
0,97,10,0.2208689251031764
0,25,4,0.21994372560040817
0,45,7,0.21991523576516145
0,87,5,0.21983442096149555
0,79,3,0.2197483025449475
0,74,8,0.2194363293819835
0,32,3,0.21936401607484715
0,44,5,0.2193134265491843
0,98,10,0.21869957611827787
0,98,14,0.21834860089445512
0,35,3,0.21808661245664432
0,70,8,0.21786082876386426
0,89,12,0.21770714914477607
0,73,8,0.21768222970064124
0,81,3,0.21564165079489916
0,67,8,0.2155817729660761
0,98,13,0.2155532237025756
0,29,4,0.21542078471231924
0,21,2,0.2152198302666868
0,99,13,0.21454190845154342
0,82,11,0.21377610246783288
0,72,8,0.21325991907475228
0,60,8,0.2130264563710848
0,58,7,0.21302507354864947
0,38,6,0.21297067505266656
0,33,3,0.2127707627583981
0,34,3,0.21275210167028463
0,54,5,0.212468688850322
0,71,9,0.2117222562058073
0,68,8,0.2113050350801347
0,71,8,0.21124791724886954
0,53,5,0.21063665302032117
0,85,8,0.21062294945028967
0,99,14,0.2104006660804383
0,80,3,0.21024275634190104
